GL173117	GL173117.1
GL173118	GL173118.1
GL173119	GL173119.1
GL173120	GL173120.1
GL173121	GL173121.1
GL173122	GL173122.1
GL173123	GL173123.1
GL173124	GL173124.1
GL173125	GL173125.1
GL173126	GL173126.1
GL173127	GL173127.1
GL173128	GL173128.1
GL173129	GL173129.1
GL173130	GL173130.1
GL173131	GL173131.1
GL173132	GL173132.1
GL173133	GL173133.1
GL173134	GL173134.1
GL173135	GL173135.1
GL173136	GL173136.1
GL173137	GL173137.1
GL173138	GL173138.1
GL173139	GL173139.1
GL173140	GL173140.1
GL173141	GL173141.1
GL173142	GL173142.1
GL173143	GL173143.1
GL173144	GL173144.1
GL173145	GL173145.1
GL173146	GL173146.1
GL173147	GL173147.1
GL173148	GL173148.1
GL173149	GL173149.1
GL173150	GL173150.1
GL173151	GL173151.1
GL173152	GL173152.1
GL173153	GL173153.1
GL173154	GL173154.1
GL173155	GL173155.1
GL173156	GL173156.1
GL173157	GL173157.1
GL173158	GL173158.1
GL173159	GL173159.1
GL173160	GL173160.1
GL173161	GL173161.1
GL173162	GL173162.1
GL173163	GL173163.1
GL173164	GL173164.1
GL173165	GL173165.1
GL173166	GL173166.1
GL173167	GL173167.1
GL173168	GL173168.1
GL173169	GL173169.1
GL173170	GL173170.1
GL173171	GL173171.1
GL173172	GL173172.1
GL173173	GL173173.1
GL173174	GL173174.1
GL173175	GL173175.1
GL173176	GL173176.1
GL173177	GL173177.1
GL173178	GL173178.1
GL173179	GL173179.1
GL173180	GL173180.1
GL173181	GL173181.1
GL173182	GL173182.1
GL173183	GL173183.1
GL173184	GL173184.1
GL173185	GL173185.1
GL173186	GL173186.1
GL173187	GL173187.1
GL173188	GL173188.1
GL173189	GL173189.1
GL173190	GL173190.1
GL173191	GL173191.1
GL173192	GL173192.1
GL173193	GL173193.1
GL173194	GL173194.1
GL173195	GL173195.1
GL173196	GL173196.1
GL173197	GL173197.1
GL173198	GL173198.1
GL173199	GL173199.1
GL173200	GL173200.1
GL173201	GL173201.1
GL173202	GL173202.1
GL173203	GL173203.1
GL173204	GL173204.1
GL173205	GL173205.1
GL173206	GL173206.1
GL173207	GL173207.1
GL173208	GL173208.1
GL173209	GL173209.1
GL173210	GL173210.1
GL173211	GL173211.1
GL173212	GL173212.1
GL173213	GL173213.1
GL173214	GL173214.1
GL173215	GL173215.1
GL173216	GL173216.1
GL173217	GL173217.1
GL173218	GL173218.1
GL173219	GL173219.1
GL173220	GL173220.1
GL173221	GL173221.1
GL173222	GL173222.1
GL173223	GL173223.1
GL173224	GL173224.1
GL173225	GL173225.1
GL173226	GL173226.1
GL173227	GL173227.1
GL173228	GL173228.1
GL173229	GL173229.1
GL173230	GL173230.1
GL173231	GL173231.1
GL173232	GL173232.1
GL173233	GL173233.1
GL173234	GL173234.1
GL173235	GL173235.1
GL173236	GL173236.1
GL173237	GL173237.1
GL173238	GL173238.1
GL173239	GL173239.1
GL173240	GL173240.1
GL173241	GL173241.1
GL173242	GL173242.1
GL173243	GL173243.1
GL173244	GL173244.1
GL173245	GL173245.1
GL173246	GL173246.1
GL173247	GL173247.1
GL173248	GL173248.1
GL173249	GL173249.1
GL173250	GL173250.1
GL173251	GL173251.1
GL173252	GL173252.1
GL173253	GL173253.1
GL173254	GL173254.1
GL173255	GL173255.1
GL173256	GL173256.1
GL173257	GL173257.1
GL173258	GL173258.1
GL173259	GL173259.1
GL173260	GL173260.1
GL173261	GL173261.1
GL173262	GL173262.1
GL173263	GL173263.1
GL173264	GL173264.1
GL173265	GL173265.1
GL173266	GL173266.1
GL173267	GL173267.1
GL173268	GL173268.1
GL173269	GL173269.1
GL173270	GL173270.1
GL173271	GL173271.1
GL173272	GL173272.1
GL173273	GL173273.1
GL173274	GL173274.1
GL173275	GL173275.1
GL173276	GL173276.1
GL173277	GL173277.1
GL173278	GL173278.1
GL173279	GL173279.1
GL173280	GL173280.1
GL173281	GL173281.1
GL173282	GL173282.1
GL173283	GL173283.1
GL173284	GL173284.1
GL173285	GL173285.1
GL173286	GL173286.1
GL173287	GL173287.1
GL173288	GL173288.1
GL173289	GL173289.1
GL173290	GL173290.1
GL173291	GL173291.1
GL173292	GL173292.1
GL173293	GL173293.1
GL173294	GL173294.1
GL173295	GL173295.1
GL173296	GL173296.1
GL173297	GL173297.1
GL173298	GL173298.1
GL173299	GL173299.1
GL173300	GL173300.1
GL173301	GL173301.1
GL173302	GL173302.1
GL173303	GL173303.1
GL173304	GL173304.1
GL173305	GL173305.1
GL173306	GL173306.1
GL173307	GL173307.1
GL173308	GL173308.1
GL173309	GL173309.1
GL173310	GL173310.1
GL173311	GL173311.1
GL173312	GL173312.1
GL173313	GL173313.1
GL173314	GL173314.1
GL173315	GL173315.1
GL173316	GL173316.1
GL173317	GL173317.1
GL173318	GL173318.1
GL173319	GL173319.1
GL173320	GL173320.1
GL173321	GL173321.1
GL173322	GL173322.1
GL173323	GL173323.1
GL173324	GL173324.1
GL173325	GL173325.1
GL173326	GL173326.1
GL173327	GL173327.1
GL173328	GL173328.1
GL173329	GL173329.1
GL173330	GL173330.1
GL173331	GL173331.1
GL173332	GL173332.1
GL173333	GL173333.1
GL173334	GL173334.1
GL173335	GL173335.1
GL173336	GL173336.1
GL173337	GL173337.1
GL173338	GL173338.1
GL173339	GL173339.1
GL173340	GL173340.1
GL173341	GL173341.1
GL173342	GL173342.1
GL173343	GL173343.1
GL173344	GL173344.1
GL173345	GL173345.1
GL173346	GL173346.1
GL173347	GL173347.1
GL173348	GL173348.1
GL173349	GL173349.1
GL173350	GL173350.1
GL173351	GL173351.1
GL173352	GL173352.1
GL173353	GL173353.1
GL173354	GL173354.1
GL173355	GL173355.1
GL173356	GL173356.1
GL173357	GL173357.1
GL173358	GL173358.1
GL173359	GL173359.1
GL173360	GL173360.1
GL173361	GL173361.1
GL173362	GL173362.1
GL173363	GL173363.1
GL173364	GL173364.1
GL173365	GL173365.1
GL173366	GL173366.1
GL173367	GL173367.1
GL173368	GL173368.1
GL173369	GL173369.1
GL173370	GL173370.1
GL173371	GL173371.1
GL173372	GL173372.1
GL173373	GL173373.1
GL173374	GL173374.1
GL173375	GL173375.1
GL173376	GL173376.1
GL173377	GL173377.1
GL173378	GL173378.1
GL173379	GL173379.1
GL173380	GL173380.1
GL173381	GL173381.1
GL173382	GL173382.1
GL173383	GL173383.1
GL173384	GL173384.1
GL173385	GL173385.1
GL173386	GL173386.1
GL173387	GL173387.1
GL173388	GL173388.1
GL173389	GL173389.1
GL173390	GL173390.1
GL173391	GL173391.1
GL173392	GL173392.1
GL173393	GL173393.1
GL173394	GL173394.1
GL173395	GL173395.1
